Rank 2 start loading data...
Rank 3 start loading data...
Rank 0 start loading data...Rank 1 start loading data...

UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
0 start loading model...
2start training...
3start training...
1start training...
0start training...




TRAIN: | epoch   0 |     0/ 7183 batches | 
TRAIN: | epoch   0 |     1/ 7183 batches | 
TRAIN: | epoch   0 |     2/ 7183 batches | 
TRAIN: | epoch   0 |     3/ 7183 batches | 
TRAIN: | epoch   0 |     4/ 7183 batches | 
TRAIN: | epoch   0 |     5/ 7183 batches | 
TRAIN: | epoch   0 |     6/ 7183 batches | 
TRAIN: | epoch   0 |     7/ 7183 batches | 
TRAIN: | epoch   0 |     8/ 7183 batches | 
TRAIN: | epoch   0 |     9/ 7183 batches | 
TRAIN: | epoch   0 |    10/ 7183 batches | 
TRAIN: | epoch   0 |    11/ 7183 batches | 
TRAIN: | epoch   0 |    12/ 7183 batches | 
TRAIN: | epoch   0 |    13/ 7183 batches | 
TRAIN: | epoch   0 |    14/ 7183 batches | 
TRAIN: | epoch   0 |    15/ 7183 batches | 
TRAIN: | epoch   0 |    16/ 7183 batches | 
TRAIN: | epoch   0 |    17/ 7183 batches | 
TRAIN: | epoch   0 |    18/ 7183 batches | 
TRAIN: | epoch   0 |    19/ 7183 batches | 
TRAIN: | epoch   0 |    20/ 7183 batches | 
TRAIN: | epoch   0 |    21/ 7183 batches | 
TRAIN: | epoch   0 |    22/ 7183 batches | 
TRAIN: | epoch   0 |    23/ 7183 batches | 
TRAIN: | epoch   0 |    24/ 7183 batches | 
TRAIN: | epoch   0 |    25/ 7183 batches | 
TRAIN: | epoch   0 |    26/ 7183 batches | 
TRAIN: | epoch   0 |    27/ 7183 batches | 
TRAIN: | epoch   0 |    28/ 7183 batches | 
TRAIN: | epoch   0 |    29/ 7183 batches | 
TRAIN: | epoch   0 |    30/ 7183 batches | 
TRAIN: | epoch   0 |    31/ 7183 batches | 
TRAIN: | epoch   0 |    32/ 7183 batches | 
TRAIN: | epoch   0 |    33/ 7183 batches | 
TRAIN: | epoch   0 |    34/ 7183 batches | 
TRAIN: | epoch   0 |    35/ 7183 batches | 
TRAIN: | epoch   0 |    36/ 7183 batches | 
TRAIN: | epoch   0 |    37/ 7183 batches | 
TRAIN: | epoch   0 |    38/ 7183 batches | 
TRAIN: | epoch   0 |    39/ 7183 batches | 
TRAIN: | epoch   0 |    40/ 7183 batches | 
TRAIN: | epoch   0 |    41/ 7183 batches | 
TRAIN: | epoch   0 |    42/ 7183 batches | 
TRAIN: | epoch   0 |    43/ 7183 batches | 
TRAIN: | epoch   0 |    44/ 7183 batches | 
TRAIN: | epoch   0 |    45/ 7183 batches | 
TRAIN: | epoch   0 |    46/ 7183 batches | 
TRAIN: | epoch   0 |    47/ 7183 batches | 
TRAIN: | epoch   0 |    48/ 7183 batches | 
TRAIN: | epoch   0 |    49/ 7183 batches | 
TRAIN: | epoch   0 |    50/ 7183 batches | 
TRAIN: | epoch   0 |    51/ 7183 batches | 
TRAIN: | epoch   0 |    52/ 7183 batches | 
TRAIN: | epoch   0 |    53/ 7183 batches | 
